MMS ID (System Identifier),ISBN,OCLC (System Identifier),Author or Editor,Title,Publisher,Physical Description,Topical Subjects,Geographical Subjects,Personal Name Subjects,Corporate Body Subjects,Event/Conference Subjects,Title Subjects
991011112489604000,817370145,1111660200,,"Theatre and embodiment / editor, Sarah McCarroll, Georgia Southern University ; associate editor, Andrew Gibb, Texas Tech University.","Greensboro, NC : Southeastern Theatre Conference ; Tuscaloosa, AL : The University of Alabama Press, 2019.","121 pages : illustrations, 23 cm.",Theater; Performing arts; Body language in art.,,,,,
991011288755404000,9781734643503,1145094787,,The Jewish question again / edited by Joyce Dalsheim and Gregory Starrett.,"Chicago : Prickly Paradigm Press, [2020]",108 pages ; 18 cm.,Jews; Antisemitism.,,,,,
991002998129704000,9781510613584,990257415,"Alda, Javier, 1962-, author.; Boreman, G. D. (Glenn D.), author.",Infrared antennas and resonant structures / Javier Alda and Glenn Boreman.,"Bellingham, Washington, USA : SPIE Press, [2017]","ix, 155 pages : color illustrations ; 24 cm",Optical antennas; Infrared detectors; Electromagnetism.,,,,,
991000854209704000,3319103709,884616457,"Al-Shaer, Ehab S., 1967-, author.","Automated firewall analytics : design, configuration and optimization / Ehab Al-Shaer.","Cham : Springer, [2014]","xiii, 132 pages : illustrations (some color) ; 24 cm",Firewalls (Computer security),,,,,
991011013281904000,3030021092,1051691121,"Al-Shaer, Ehab S., 1967-, author.; Wei, Jinpeng, author; Hamlen, Kevin, author; Wang, Cliff, author.","Autonomous cyber deception : reasoning, adaptive planning, and evaluation of HoneyThings / Ehab Al-Shaer, Jinpeng Wei, Kevin W. Hamlen, Cliff Wang.","Cham, Switzerland : Springer, 2019.","xvi, 235 pages  : illustrations (some color) ; 25 cm",Computer security; Computer networks--Security measures.,,,,,
991000722799704000,9781623491970,880808840,"Andres, Benny J.,  Jr. (Benny Joseph), author.","Power and control in the Imperial Valley : nature, agribusiness, and workers on the California borderland, 1900-1940 / Benny J. Andres Jr. ; with a foreword by Sterling Evans.","College Station, Texas : Texas A & M University Press, 2015.","xv, 229 pages : illustrations, map ; 25 cm.",Irrigation farming--Economic aspects--Imperial Valley (Calif. and Mexico).,Imperial Valley (Calif. and Mexico)--Economic conditions.;Imperial Valley (Calif. and Mexico)--Social conditions.;Imperial Valley (Calif. and Mexico)--Race relations.,,,,
991002421519704000,9781119125105,953842798,"Ansari, Nirwan, 1958-, author.; Han, Tao, 1983- author.","Green mobile networks : a networking perspective / Nirwan Ansari, Tao Han.","Hoboken, NJ, USA : John Wiley & Sons, Inc., [2017]","ix, 308 pages : illustrations ; 25 cm",Mobile communication systems--Energy conservation; Mobile communication systems--Environmental aspects; Sustainable engineering; Green electronics.,,,,,
991011182488904000,9781108422970,1085621838,"Arnold, Denis Gordon, editor; Beauchamp, Tom L., editor; Bowie, Norman E., 1942- editor.","Ethical theory and business / [edited by] Denis G. Arnold, Tom L. Beauchamp, Norman E. Bowie.","Cambridge, United Kingdom ; New York, NY : Cambridge University Press, 2020.","xvii, 599 pages ; 29 cm",Business ethics--United States; Business ethics--United States--Case studies; Industries--Social aspects--United States; Industries--Social aspects--United States--Case studies; Commercial crimes--United States--Cases; Consumer protection--Law and legislation--United States--Cases.,,,,,
991011170385304000,9781108422970,1079302465,"Arnold, Denis Gordon, editor; Beauchamp, Tom L., editor; Bowie, Norman E., 1942- editor.","Ethical theory and business / Denis Arnold, Tom Beauchamp, Norman Bowie.","Cambridge : Cambridge University Press, 2018.",1 volume,Business ethics--United States; Business ethics--United States--Case studies; Industries--Social aspects--United States; Industries--Social aspects--United States--Case studies; Commercial crimes--United States--Cases; Consumer protection--Law and legislation--United States--Cases.,,,,,
991011023340104000,9780323544801,1088907465,"Arnold, Elizabeth, author.; Boggs, Kathleen Underman, author.","Interpersonal relationships : professional communication skills for nurses / Elizabeth C. Arnold, PhD, RN, PMHCNS-BC, Kathleen Underman Boggs, PhD, FNP-CS.","Philadelphia : Saunders, [2020].",541 pages : illustrations (black and white) ; 24 cm,Nurse and patient; Interpersonal communication; Interprofessional relations.,,,,,
